date,open,high,low,close,volume
2023-01-01,100,105,98,102,1000
2023-01-02,102,106,101,104,1100
2023-01-03,104,108,103,106,1050
2023-01-04,106,110,105,108,1200
2023-01-05,108,112,107,110,1150
2023-01-06,110,115,109,113,1300
2023-01-07,113,116,111,115,1250
2023-01-08,115,118,114,116,1350
2023-01-09,116,120,115,118,1400
2023-01-10,118,122,117,120,1500
2023-01-11,120,125,119,122,1600
2023-01-12,122,126,121,124,1550
2023-01-13,124,128,122,125,1650
2023-01-14,125,130,124,128,1700
2023-01-15,128,132,126,130,1800
2023-01-16,130,135,129,133,1900
2023-01-17,133,136,131,135,1850
2023-01-18,135,138,134,136,1950
2023-01-19,136,140,135,138,2000
2023-01-20,138,142,137,140,2100
2023-01-21,140,145,139,143,2200
2023-01-22,143,148,141,146,2300
2023-01-23,146,150,144,148,2400
2023-01-24,148,152,146,150,2500
2023-01-25,150,155,149,153,2600
2023-01-26,153,158,151,156,2700
2023-01-27,156,160,154,158,2800
2023-01-28,158,162,157,160,2900
2023-01-29,160,165,159,163,3000
2023-01-30,163,168,161,165,3100
